family,n_qubits,depth,backend,base_shots,n_seeds,feat_n_qubits,feat_depth,feat_n_1q_gates,feat_n_2q_gates,feat_n_cnot,feat_n_non_clifford,feat_clifford_fraction,feat_depth_per_qubit,feat_backend_avg_2q_error,feat_backend_avg_readout_error,feat_log2_shots,feat_n_2q_layers,feat_entangling_density,feat_mean_rz_angle_dist,feat_backend_avg_1q_error,raw_mean_abs_error,raw_n_seeds,raw_plus_mean_abs_error,raw_plus_n_seeds,zne_mean_abs_error,zne_n_seeds,zne_fr_mean_abs_error,zne_fr_n_seeds,cdr_mean_abs_error,cdr_n_seeds,cdr_ridge_mean_abs_error,cdr_ridge_n_seeds,rem_mean_abs_error,rem_n_seeds,best_technique,best_technique_cost_aware
hw_efficient_ansatz,3,8,FakeLagosV2@x0.5,1024,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.007317487373170001,0.10177142857142848,10.0,16.0,0.1568627450980392,0.5078751011651501,8.369268849924999e-05,0.23125304920204037,5,0.23803571965658582,5,0.2308624242020405,5,0.18711242420204038,5,0.1046646319275381,5,0.1020251133694269,5,0.08397256507807374,5,rem,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.5,2048,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.007317487373170001,0.10177142857142848,11.0,16.0,0.1568627450980392,0.5078751011651501,8.369268849924999e-05,0.24336242420204038,5,0.24148032192931312,5,0.22676086170204038,5,0.22500304920204037,5,0.06889381660273597,5,0.06556772043151354,5,0.056116744224230096,5,rem,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.5,4096,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.007317487373170001,0.10177142857142848,12.0,16.0,0.1568627450980392,0.5078751011651501,8.369268849924999e-05,0.23926086170204036,5,0.2370591571565858,5,0.2256866429520405,5,0.23554992420204038,5,0.022447734013169757,5,0.02252045640540656,5,0.027733017982751823,5,cdr,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x1.5,256,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.02195246211951,0.2599285714285714,8.0,16.0,0.1568627450980392,0.5078751011651501,0.0002510780654977,0.3937530492020404,5,0.36676441283840405,5,0.47031554920204066,5,0.35312804920204044,5,0.30034028130191476,5,0.2850748948257042,5,1.0890713571790913,5,cdr_ridge,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2@x1.5,512,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.02195246211951,0.2599285714285714,9.0,16.0,0.1568627450980392,0.5078751011651501,0.0002510780654977,0.3750030492020404,5,0.35050020829294953,5,0.38437804920204044,5,0.4000030492020404,5,0.2837796497313828,5,0.28862765994062334,5,0.7396042766469898,4,cdr,raw
hw_efficient_ansatz,3,8,FakeLagosV2@x1.5,1024,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.02195246211951,0.2599285714285714,10.0,16.0,0.1568627450980392,0.5078751011651501,0.0002510780654977,0.37383117420204043,5,0.3667289014747676,5,0.36054992420204035,5,0.3656280492020404,5,0.2427773345195779,5,0.22520974340382893,5,0.8834888999472751,5,cdr_ridge,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2@x1.5,2048,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.02195246211951,0.2599285714285714,11.0,16.0,0.1568627450980392,0.5078751011651501,0.0002510780654977,0.3652374242020404,5,0.3616152651111313,5,0.3572296117020404,5,0.3750030492020404,5,0.3487044479032548,5,0.2892416973775828,5,0.2767972378356155,4,cdr_ridge,raw
hw_efficient_ansatz,3,8,FakeLagosV2@x1.5,4096,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.02195246211951,0.2599285714285714,12.0,16.0,0.1568627450980392,0.5078751011651501,0.0002510780654977,0.35332336170204043,5,0.36307123102022226,5,0.36054992420204046,5,0.3631866429520404,5,0.23010698015210912,5,0.2206071764529641,5,0.29370366902055184,5,cdr_ridge,raw
hw_efficient_ansatz,3,8,FakeLagosV2@x2.0,256,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.029269949492680004,0.2931714285714286,8.0,16.0,0.1568627450980392,0.5078751011651501,0.0003347707539969,0.3968780492020404,5,0.36094054920204044,5,0.38906554920204034,5,0.36406554920204043,5,0.3323541619420448,5,0.2961512578250822,5,1.2843331302216978,3,cdr_ridge,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2@x2.0,512,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.029269949492680004,0.2931714285714286,9.0,16.0,0.1568627450980392,0.5078751011651501,0.0003347707539969,0.3789092992020404,5,0.35490361738385856,5,0.3898467992020405,5,0.40937804920204035,5,0.2223389625348295,5,0.21501235520453998,5,1.5364805859237796,2,cdr_ridge,raw
